A,B,C
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.035,0.475935564,0.035
0.039074074,0.644402087,0.039074074
0.040740741,0.555341704,0.040740741
0.040740741,0.496091889,0.040740741
0.040740741,0.496091889,0.040740741
0.043148148,0.580869748,0.043148148
0.042222222,0.463923459,0.042222222
0.043148148,0.528427411,0.043148148
0.042037037,0.457493486,0.042037037
0.041296296,0.470198716,0.041296296
0.041296296,0.496091889,0.041296296
0.041296296,0.496091889,0.041296296
0.044074074,0.593599733,0.044074074
0.040740741,0.380896978,0.040740741
0.041296296,0.515654106,0.041296296
0.041111111,0.489593841,0.041111111
0.041666667,0.515616974,0.041666667
0.041666667,0.496091889,0.041666667
0.041666667,0.496091889,0.041666667
0.044074074,0.580424168,0.044074074
0.045555556,0.547290314,0.045555556
0.045925926,0.508784741,0.045925926
0.043518519,0.413746155,0.043518519
0.045,0.547451218,0.045
0.045,0.496091889,0.045
0.045,0.496091889,0.045
0.046666667,0.55339229,0.046666667
0.047592593,0.527635268,0.047592593
0.047777778,0.502367146,0.047777778
0.047407407,0.483553751,0.047407407
0.046296296,0.458397025,0.046296296
0.046296296,0.496091889,0.046296296
0.046296296,0.496091889,0.046296296
0.047777778,0.546665264,0.047777778
0.04462963,0.389499155,0.04462963
0.046481481,0.559890338,0.046481481
0.043518519,0.395050344,0.043518519
0.043703704,0.502509484,0.043703704
0.043703704,0.496091889,0.043703704
0.043703704,0.496091889,0.043703704
0.042222222,0.444788256,0.042222222
0.042037037,0.489624784,0.042037037
0.043518519,0.547878233,0.043518519
0.042962963,0.476832914,0.042962963
0.043518519,0.51541275,0.043518519
0.043518519,0.496091889,0.043518519
0.043518519,0.496091889,0.043518519
0.041111111,0.412638393,0.041111111
0.037962963,0.385464177,0.037962963
0.037407407,0.476214052,0.037407407
0.037037037,0.48279874,0.037037037
0.037777778,0.522740072,0.037777778
0.037777778,0.496091889,0.037777778
0.037777778,0.496091889,0.037777778
0.037777778,0.496091889,0.037777778
0.037777778,0.496091889,0.037777778
0.036111111,0.436396492,0.036111111
0.037222222,0.536280765,0.037222222
0.03962963,0.582596372,0.03962963
0.03962963,0.496091889,0.03962963
0.03962963,0.496091889,0.03962963
0.038148148,0.443587665,0.038148148
0.038333333,0.502713708,0.038333333
0.040925926,0.588655028,0.040925926
0.040555556,0.483064851,0.040555556
0.040185185,0.483033907,0.040185185
0.040185185,0.496091889,0.040185185
0.040185185,0.496091889,0.040185185
0.04,0.489550521,0.04
0.04037037,0.509187001,0.04037037
0.041666667,0.541838143,0.041666667
0.042037037,0.509063229,0.042037037
0.041481481,0.47667201,0.041481481
0.041481481,0.496091889,0.041481481
0.041481481,0.496091889,0.041481481
0.043148148,0.554537184,0.043148148
0.040925926,0.418895084,0.040925926
0.039814815,0.457004586,0.039814815
0.036111111,0.364979856,0.036111111
0.038148148,0.56976737,0.038148148
0.038148148,0.496091889,0.038148148
0.038148148,0.496091889,0.038148148
0.038148148,0.496091889,0.038148148
0.040555556,0.582138415,0.040555556
0.038703704,0.430808171,0.038703704
0.040925926,0.575262861,0.040925926
0.041851852,0.528662578,0.041851852
0.041851852,0.496091889,0.041851852
0.041851852,0.496091889,0.041851852
0.042407407,0.515530334,0.042407407
0.041851852,0.476709141,0.041851852
0.042407407,0.515530334,0.042407407
0.042222222,0.489630973,0.042222222
0.042037037,0.489624784,0.042037037
0.042037037,0.496091889,0.042037037
0.042037037,0.496091889,0.042037037
0.041851852,0.489618596,0.041851852
0.04037037,0.444249847,0.04037037
0.041851852,0.548373322,0.041851852
0.042222222,0.509050852,0.042222222
0.042037037,0.489624784,0.042037037
0.042037037,0.496091889,0.042037037
0.042037037,0.496091889,0.042037037
0.036851852,0.314833495,0.036851852
0.035925926,0.462747622,0.035925926
0.033888889,0.422335955,0.033888889
0.032962963,0.462165892,0.032962963
0.030555556,0.407390446,0.030555556
0.030555556,0.496091889,0.030555556
0.030555556,0.496091889,0.030555556
0.031111111,0.516860886,0.031111111
0.032592593,0.551288161,0.032592593
0.034814815,0.578152945,0.034814815
0.034259259,0.475842735,0.034259259
0.036666667,0.584112583,0.036666667
0.036666667,0.496091889,0.036666667
0.036666667,0.496091889,0.036666667
0.036666667,0.496091889,0.036666667
0.037222222,0.516118252,0.037222222
0.037592593,0.509403603,0.037592593
0.035,0.403132678,0.035
0.035925926,0.529801284,0.035925926
0.035925926,0.496091889,0.035925926
0.035925926,0.496091889,0.035925926
0.033888889,0.422335955,0.033888889
0.03537037,0.550378434,0.03537037
0.034444444,0.462456757,0.034444444
0.032407407,0.421692339,0.032407407
0.031296296,0.45501804,0.031296296
0.031296296,0.496091889,0.031296296
0.031296296,0.496091889,0.031296296
0.029259259,0.420287523,0.029259259
0.031296296,0.572836924,0.031296296
0.032407407,0.537444225,0.032407407
0.034259259,0.564550366,0.034259259
0.036851852,0.59088293,0.036851852
0.036851852,0.496091889,0.036851852
0.036851852,0.496091889,0.036851852
0.038333333,0.549443953,0.038333333
0.038148148,0.489482446,0.038148148
0.036851852,0.449757716,0.036851852
0.038888889,0.569445562,0.038888889
0.039259259,0.509273642,0.039259259
0.039259259,0.496091889,0.039259259
0.039259259,0.496091889,0.039259259
0.043148148,0.634203247,0.043148148
0.043518519,0.508958023,0.043518519
0.043333333,0.489674293,0.043333333
0.045185185,0.560354484,0.045185185
0.045740741,0.515171394,0.045740741
0.045740741,0.496091889,0.045740741
0.045740741,0.496091889,0.045740741
0.048148148,0.578524262,0.048148148
0.047407407,0.471065123,0.047407407
0.05037037,0.596619778,0.05037037
0.049444444,0.465179748,0.049444444
0.05,0.514732002,0.05
0.05,0.496091889,0.05
0.05,0.496091889,0.05
0.051111111,0.53326072,0.051111111
0.048518519,0.409884459,0.048518519
0.049259259,0.521069145,0.049259259
0.049814815,0.514750568,0.049814815
0.05,0.502292882,0.05
0.05,0.496091889,0.05
0.05,0.496091889,0.05
0.04462963,0.316442536,0.04462963
0.045185185,0.51523328,0.045185185
0.047407407,0.572416098,0.047407407
0.047222222,0.489810443,0.047222222
0.045925926,0.45206607,0.045925926
0.045925926,0.496091889,0.045925926
0.045925926,0.496091889,0.045925926
0.04537037,0.477086647,0.04537037
0.044444444,0.464325719,0.044444444
0.045740741,0.540798455,0.045740741
0.046851852,0.534139504,0.046851852
0.045925926,0.464579453,0.045925926
0.045925926,0.496091889,0.045925926
0.045925926,0.496091889,0.045925926
0.043148148,0.401078057,0.043148148
0.044259259,0.534690291,0.044259259
0.046851852,0.585597851,0.046851852
0.051666667,0.659947892,0.051666667
0.052037037,0.508370104,0.052037037
0.052037037,0.496091889,0.052037037
0.052037037,0.496091889,0.052037037
0.052222222,0.502218619,0.052222222
0.050555556,0.441000823,0.050555556
0.05037037,0.489915649,0.05037037
0.048333333,0.42808518,0.048333333
0.048333333,0.496091889,0.048333333
0.048333333,0.496091889,0.048333333
0.048333333,0.496091889,0.048333333
0.044444444,0.364818952,0.044444444
0.045555556,0.534411803,0.045555556
0.045185185,0.483399036,0.045185185
0.048148148,0.597857501,0.048148148
0.047962963,0.489835197,0.047962963
0.047962963,0.496091889,0.047962963
0.047962963,0.496091889,0.047962963
0.048703704,0.521149597,0.048703704
0.047777778,0.464901261,0.047777778
0.047962963,0.502360957,0.047962963
0.046481481,0.445982659,0.046481481
0.04462963,0.432943244,0.04462963
0.04462963,0.496091889,0.04462963
0.04462963,0.496091889,0.04462963
0.042962963,0.438673903,0.042962963
0.040740741,0.418814632,0.040740741
0.043703704,0.600431965,0.043703704
0.042777778,0.464028666,0.042777778
0.041296296,0.444522146,0.041296296
0.041296296,0.496091889,0.041296296
0.041296296,0.496091889,0.041296296
0.041296296,0.496091889,0.041296296
0.03962963,0.437584707,0.03962963
0.04,0.509217945,0.04
0.040185185,0.502639445,0.040185185
0.040555556,0.509174624,0.040555556
0.040555556,0.496091889,0.040555556
0.040555556,0.496091889,0.040555556
0.038148148,0.411227388,0.038148148
0.037777778,0.482854438,0.037777778
0.040740741,0.602220476,0.040740741
0.037777778,0.391751812,0.037777778
0.03462963,0.383329104,0.03462963
0.03462963,0.496091889,0.03462963
0.03462963,0.496091889,0.03462963
0.031666667,0.387995321,0.031666667
0.032962963,0.544226949,0.032962963
0.031851852,0.455154189,0.031851852
0.02962963,0.413665703,0.02962963
0.029444444,0.489129695,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.029444444,0.496091889,0.029444444
0.027222222,0.412458923,0.027222222
0.025925926,0.446638653,0.025925926
0.03,0.652762908,0.03
0.031481481,0.551659478,0.031481481
0.030925926,0.475440475,0.030925926
0.030925926,0.496091889,0.030925926
0.030925926,0.496091889,0.030925926
0.032962963,0.572069535,0.032962963
0.031111111,0.42786239,0.031111111
0.030185185,0.461596539,0.030185185
0.026666667,0.364274354,0.026666667
0.025740741,0.460649681,0.025740741
0.025740741,0.496091889,0.025740741
0.025740741,0.496091889,0.025740741
0.028888889,0.617295946,0.028888889
