净值日期,日增长率,预测值
2021/3/10,2.9,0.985318004
2021/3/9,-2.59,0.036135657
2021/3/8,-5.87,0.973315031
2021/3/7,0,0.160121951
2021/3/6,0,0.620083133
2021/3/5,0.06,0.553869789
2021/3/4,-3.97,0.999986578
2021/3/3,1.6,0.999956665
2021/3/2,-1.65,0.028054612
2021/3/1,1.24,0.49887538
2021/2/28,0,0.610618912
2021/2/27,0,0.010634402
2021/2/26,-3.04,0.024947721
2021/2/25,-0.81,0.979984305
2021/2/24,-3.79,0.911980243
2021/2/23,-0.24,0.303661258
2021/2/22,-6.47,0.185499154
2021/2/21,0,0.065074417
2021/2/20,0,0.5
2021/2/19,-0.32,0.994746625
2021/2/18,-3.33,0.384760913
2021/2/17,0,0.871950024
2021/2/16,0,0.752714481
2021/2/15,0,0.112839663
2021/2/14,0,0.767501278
2021/2/13,0,0.880250148
2021/2/12,0,0.271273646
2021/2/11,0,0.039363847
2021/2/10,4.38,0.959248289
2021/2/9,2.05,0.501497921
2021/2/8,0.84,0.115789711
2021/2/7,0,0.134703378
2021/2/6,0,0.918414865
2021/2/5,1.13,0.999748398
2021/2/4,-0.28,0.5
2021/2/3,1,0.80048826
2021/2/2,3.66,0.988079324
2021/2/1,1.03,0.058631964
2021/1/31,0,0.999986687
2021/1/30,0,0.80048826
2021/1/29,0.75,0.046473749
2021/1/28,-1.7,0.377739083
2021/1/27,-0.74,0.178131386
2021/1/26,-2.03,0.999994594
2021/1/25,3.95,0.5
2021/1/24,0,0.514073577
2021/1/23,0,0.974012883
2021/1/22,0.23,0.773426903
2021/1/21,2.42,0.999739481
2021/1/20,1.11,0.398371774
2021/1/19,-1.77,0.999997896
2021/1/18,-0.23,0.431577696
2021/1/17,0,0.876264634
2021/1/16,0,0.126984127
2021/1/15,-1.92,0.562760521
2021/1/14,-2.69,0.180227051
2021/1/13,-1.04,0.460888705
2021/1/12,2.28,0.961725017
2021/1/11,-2.09,0.76836211
2021/1/10,0,0.035561926
2021/1/9,0,0.548097944
2021/1/8,-2.34,0.01797837
2021/1/7,1.77,0.028802355
2021/1/6,0.31,0.258496498
2021/1/5,3.26,0.565989885
2021/1/4,2.29,0.99974774
2021/1/3,0,0.818231343
2021/1/2,0,0.980016003
2021/1/1,0,0.081657848
